Feature,Importance
AFC_phr,0.12036234008712962
digit_span_backward,0.11721146483291325
digit_span_forward,0.106795096883295
age_years,0.09364298344689068
AGL_medRT_diff,0.09312378117697777
n_back_2_mean_score,0.09150339799815824
AFC_sent,0.08868256417280493
IQ,0.0680274048341766
PS_ac_RT_med,0.06088333630857673
prod,0.05870195106095123
PS_vis_RT_med,0.04077818634684027
AGL_offline,0.029844918388056647
group_ASD,0.014950226959359858
group_DLD,0.014598145861333659
group_ADHD,0.0008942016425355093
